feature,importance,coefficient
num__monthly_usage_gb,2.150854678154104,-2.150854678154104
cat__plan_type_Pro,1.7919820650106102,-1.7919820650106102
num__avg_latency_ms,1.372165857955618,1.372165857955618
num__tenure_months,1.2634170499173114,-1.2634170499173114
cat__contract_type_Annual,1.0798227301713734,-1.0798227301713734
cat__plan_type_Basic,0.9921727782414365,0.9921727782414365
num__downtime_hours_30d,0.9576861608444662,0.9576861608444662
cat__autopay_Yes,0.9218483395806419,-0.9218483395806419
num__support_tickets_30d,0.6524585522911848,0.6524585522911848
num__discount_pct,0.5735545806216554,-0.5735545806216554
cat__contract_type_Monthly,0.5412285523477022,0.5412285523477022
cat__is_promo_user_No,0.5320587811056309,-0.5320587811056309
cat__autopay_No,0.38325074288091,0.38325074288091
num__payment_failures_90d,0.33804387334528896,0.33804387334528896
num__add_on_count,0.23285956619904383,-0.23285956619904383
cat__is_promo_user_Yes,0.021934206712208373,0.021934206712208373
cat__plan_type_Standard,0.0,0.0
